doc_id	status	title
Z1100000380	Обновленный	О правоохранительной службе
Z1000000357	Обновленный	О республиканском бюджете на 2011 - 2013 годы
Z1000000351	Обновленный	О государственном регулировании производства и оборота биотоплива
Z100000277_	Обновленный	О внешней разведке
Z100000274_	Обновленный	О защите прав потребителей
Z100000261_	Обновленный	Об исполнительном производстве и статусе судебных исполнителей
Z100000257_	Обновленный	О государственной статистике
Z090000223_	Обновленный	О государственных гарантиях равных прав и равных возможностей мужчин и женщин
Z090000219_	Обновленный	О республиканском бюджете на 2010 - 2012 годы
Z090000216_	Обновленный	О беженцах
Z090000191_	Обновленный	О противодействии легализации (отмыванию) доходов, полученных преступным путем, финансированию терроризма и финансированию распространения оружия массового уничтожения
Z090000165_	Обновленный	О поддержке использования возобновляемых источников энергии
Z090000155_	Обновленный	О товарных биржах
Z080000096_	Обновленный	О республиканском бюджете на 2009-2011 годы
Z080000061_	Обновленный	Об аккредитации в области оценки соответствия
Z080000067_	Обновленный	О трансфертном ценообразовании
Z070000008_	Обновленный	О республиканском бюджете на 2008 год
Z070000005_	Новый	Об объемах трансфертов общего характера между республиканским и областными бюджетами, бюджетами города республиканского значения, столицы на 2008-2010 годы
Z070000319_	Обновленный	Об образовании
Z070000310_	Обновленный	О государственной регистрации прав на недвижимое имущество
Z070000301_	Обновленный	О безопасности пищевой продукции
Z070000302_	Обновленный	О безопасности химической продукции
Z070000305_	Обновленный	О безопасности машин и оборудования
Z070000306_	Обновленный	О безопасности игрушек
Z070000300_	Обновленный	Об экспортном контроле
Z070000234_	Обновленный	О бухгалтерском учете и финансовой отчетности
Z070000219_	Обновленный	Об игорном бизнесе
Z070000223_	Обновленный	О национальных реестрах идентификационных номеров
Z060000207_	Обновленный	О культуре
Z060000194_	Обновленный	О республиканском бюджете на 2007 год
Z060000189_	Обновленный	О гарантированном трансферте из Национального фонда Республики Казахстан на 2007-2009 годы
Z060000175_	Обновленный	Об особо охраняемых природных территориях
Z060000169_	Обновленный	Об обязательном гарантировании депозитов, размещенных в банках второго уровня Республики Казахстан
Z060000163_	Обновленный	О взаимном страховании
Z060000157_	Обновленный	Об амнистии в связи с легализацией имущества
Z060000149_	Новый	Об амнистии в связи с легализацией незаконных трудовых иммигрантов
Z060000126_	Обновленный	О проектном финансировании и секьюритизации
Z060000121_	Обновленный	О присяжных заседателях
Z060000113_	Новый	Об амнистии в связи с празднованием Дня независимости Республики Казахстан
Z050000093_	Обновленный	Об обязательном экологическом страховании
Z050000088_	Обновленный	О республиканском бюджете на 2006 год
Z050000066_	Обновленный	О государственном регулировании развития агропромышленного комплекса и сельских территорий
Z050000054_	Обновленный	О международных договорах Республики Казахстан
Z050000036_	Обновленный	О государственном социальном заказе, государственном заказе на реализацию стратегического партнерства, грантах и премиях для неправительственных организаций в Республике Казахстан
Z050000031_	Обновленный	О противодействии экстремизму
Z050000030_	Обновленный	Об обязательном страховании работника от несчастных случаев при исполнении им трудовых (служебных) обязанностей
Z050000029_	Обновленный	Об обороне и Вооруженных Силах Республики Казахстан
Z040000003_	Обновленный	О республиканском бюджете на 2005 год
Z040000602_	Новый	Об объемах официальных трансфертов общего характера между республиканским и областными бюджетами, бюджетами города республиканского значения, столицы
Z040000593_	Обновленный	Об охране, воспроизводстве и использовании животного мира
Z040000588_	Обновленный	Об электроэнергетике
Z040000576_	Обновленный	Об инвестиционных и венчурных фондах
Z040000580_	Обновленный	Об обязательном страховании гражданско-правовой ответственности владельцев объектов, деятельность которых связана с опасностью причинения вреда третьим лицам
Z040000574_	Обновленный	О внутреннем водном транспорте
Z040000573_	Обновленный	О кредитных бюро и формировании кредитных историй в Республике Казахстан
Z040000567_	Обновленный	О связи
Z040000544_	Обновленный	О регулировании торговой деятельности
Z030000513_	Обновленный	Об обязательном страховании туриста
Z030000510_	Обновленный	О государственной правовой статистике и специальных учетах
Z030000508_	Обновленный	О рекламе
Z030000505_	Обновленный	О республиканском бюджете на 2004 год
Z030000490_	Обновленный	О государственном мониторинге собственности в отраслях экономики, имеющих стратегическое значение
Z030000476_	Обновленный	Об автомобильном транспорте
Z030000474_	Обновленный	О государственном регулировании, контроле и надзоре финансового рынка и финансовых организаций
Z030000461_	Обновленный	О рынке ценных бумаг
Z030000444_	Обновленный	Об обязательном страховании гражданско-правовой ответственности перевозчика перед пассажирами
Z030000446_	Обновленный	Об обязательном страховании гражданско-правовой ответственности владельцев транспортных средств
Z030000440_	Обновленный	Об обязательном страховании гражданско-правовой ответственности аудиторских организаций
Z030000439_	Обновленный	О государственном регулировании производства и оборота табачных изделий
Z030000435_	Обновленный	Об обязательном страховании гражданско-правовой ответственности частных нотариусов
Z030000423_	Обновленный	О Фонде гарантирования страховых выплат
Z030000415_	Обновленный	Об акционерных обществах
Z030000400_	Обновленный	О кредитных товариществах
Z030000391_	Обновленный	О военном положении
Z030000385_	Обновленный	О семеноводстве
Z030000387_	Обновленный	О чрезвычайном положении
Z020000362_	Обновленный	О республиканском бюджете на 2003 год
Z020000345_	Обновленный	О правах ребенка в Республике Казахстан
Z020000344_	Обновленный	О политических партиях
Z020000343_	Обновленный	О социальной и медико-педагогической коррекционной поддержке детей с ограниченными возможностями
Z020000339_	Обновленный	О ветеринарии
Z020000331_	Обновленный	О защите растений
Z020000330_	Обновленный	О комплексной предпринимательской лицензии (франчайзинге)
Z020000304_	Обновленный	Об органах юстиции
Z020000303_	Обновленный	О пчеловодстве
Z020000299_	Обновленный	О дипломатической службе Республики Казахстан
Z020000294_	Новый	Об амнистии в связи с десятилетием независимости Республики Казахстан
Z020000284_	Обновленный	О торговом мореплавании
Z010000273_	Новый	О республиканском бюджете на 2002 год
Z010000268_	Новый	Об эмблеме и отличительном знаке медицинской службы Вооруженных Сил Республики Казахстан
Z010000267_	Обновленный	О праздниках в Республике Казахстан
Z010000266_	Обновленный	О железнодорожном транспорте
Z010000264_	Обновленный	О членстве Республики Казахстан в Международном Валютном Фонде, Международном Банке Реконструкции и Развития, Международной Финансовой Корпорации, Международной Ассоциации Развития, Многостороннем Агентстве Гарантии Инвестиций, Международном Центре по Урегулированию Инвестиционных Споров, Европейском Банке Реконструкции и Развития, Азиатском Банке Развития, Исламском Банке Развития, Азиатском Банке Инфраструктурных Инвестиций и Тюркском инвестиционном фонде
Z010000245_	Обновленный	Об автомобильных дорогах
Z010000242_	Обновленный	Об архитектурной, градостроительной и строительной деятельности в Республике Казахстан
Z010000222_	Обновленный	О Государственной премии мира и прогресса Первого Президента Республики Казахстан – Елбасы
Z010000217_	Обновленный	О правовой охране топологий интегральных микросхем
Z010000211_	Обновленный	О туристской деятельности в Республике Казахстан
Z010000210_	Обновленный	О введении в действие Кодекса Республики Казахстан "О налогах и других обязательных платежах в бюджет" (Налоговый кодекс)
Z010000197_	Обновленный	О потребительском кооперативе
Z010000178_	Обновленный	О Банке Развития Казахстана
Z010000173_	Обновленный	Об амнистии граждан Республики Казахстан в связи с легализацией ими денег
Z010000156_	Новый	О введении в действие Кодекса Республики Казахстан об административных правонарушениях
Z010000148_	Обновленный	О местном государственном управлении и самоуправлении в Республике Казахстан
Z010000143_	Обновленный	О зерне
Z010000142_	Обновленный	О некоммерческих организациях
Z000000134_	Новый	Об амнистии в связи с десятой годовщиной принятия Декларации о государственном суверенитете Республики Казахстан
Z000000131_	Обновленный	О республиканском бюджете на 2001 год
Z000000126_	Обновленный	О страховой деятельности
Z000000113_	Обновленный	О детских деревнях семейного типа и домах юношества
Z000000110_	Обновленный	О жилищных строительных сбережениях в Республике Казахстан
Z000000085_	Обновленный	Об охранной деятельности
Z000000078_	Обновленный	О финансовом лизинге
Z000000072_	Обновленный	О государственной защите лиц, участвующих в уголовном процессе
Z000000053_	Обновленный	Об обеспечении единства измерений
Z990000473_	Обновленный	О республиканском бюджете на 2000 год
Z990000456_	Обновленный	О товарных знаках, знаках обслуживания, географических указаниях и наименованиях мест происхождения товаров
Z990000427_	Обновленный	Патентный закон Республики Казахстан
Z990000429_	Обновленный	О государственном регулировании производства и оборота этилового спирта и алкогольной продукции
Z990000422_	Обновленный	Об охране селекционных достижений
Z990000416_	Обновленный	О противодействии терроризму
Z990000414_	Обновленный	О государственном специальном пособии лицам, работавшим на подземных и открытых горных работах, на работах с особо вредными и особо тяжелыми условиями труда или на работах с вредными и тяжелыми условиями труда
Z990000415_	Новый	Об амнистии в связи с Годом единства и преемственности поколений
Z990000410_	Новый	О введении в действие Гражданского кодекса Республики Казахстан (особенная часть)
Z990000353_	Обновленный	О порядке и условиях содержания лиц в специальных учреждениях, специальных помещениях, обеспечивающих временную изоляцию от общества
Z990000349_	Обновленный	О государственных секретах
Z990000344_	Обновленный	О карантине растений
Z980000339_	Обновленный	О государственном контроле за оборотом отдельных видов оружия
Z980000326_	Обновленный	О Национальном архивном фонде и архивах
Z980000318_	Обновленный	О республиканском бюджете на 1999 год
Z980000304_	Обновленный	Об аудиторской деятельности
Z980000279_	Обновленный	О наркотических средствах, психотропных веществах, их аналогах и прекурсорах и мерах противодействия их незаконному обороту и злоупотреблению ими
Z980000278_	Обновленный	О ПЛЕМЕННОМ ЖИВОТНОВОДСТВЕ
Z980000258_	Обновленный	Об особом статусе города Алматы
Z980000254_	Обновленный	О регистрации залога движимого имущества
Z980000219_	Обновленный	О радиационной безопасности населения
Z980000220_	Обновленный	О товариществах с ограниченной и дополнительной ответственностью
Z970000201_	Новый	Республиканский бюджет Республики Казахстан на 1998 год
Z970000155_	Обновленный	О нотариате
Z970000151_	Обновленный	О языках в Республике Казахстан
Z970000150_	Обновленный	О судебных приставах
